Timestamp,RTT (ms)
1750246656,37.191
1750246657,90.432
1750246658,96.941
1750246659,77.742
1750246660,57.623
1750246661,19.795
1750246662,47.071
1750246663,75.954
1750246664,33.857
1750246665,75.167
1750246666,50.851
1750246667,60
1750246668,60
1750246669,60
1750246670,60
1750246671,60
1750246672,28.741
1750246674,101.363
1750246679,44.114
1750246681,34.829
1750246684,14.974
1750246686,22.122
1750246687,41.578
1750246692,20.443
1750246697,18.784
1750246700,14.739
1750246705,20.468
1750246710,16.339
1750246715,20.258
1750246720,16.759
1750246722,16.149
1750246729,15.785
1750246735,44.235
1750246736,38.379
1750246737,46.21
1750246739,16.207
1750246740,14.793
1750246741,60
1750246742,118.939
1750246743,92.445
1750246744,57.96
1750246745,16.958
1750246746,28.134
1750246749,14.729
1750246750,33.729
1750246752,18.016
1750246753,28.799
1750246754,27.695
1750246755,19.209
1750246756,15.342
1750246757,20.852
1750246758,28.744
1750246759,15.691
1750246760,16.05
1750246761,23.641
1750246762,17.81
1750246763,17.827
1750246764,33.078
1750246765,29.79
1750246766,27.175
1750246767,18.823
1750246768,15.939
1750246769,22.6
1750246770,38.871
1750246771,24.547
1750246772,19.66
1750246773,19.792
1750246774,34.37
1750246775,17.748
1750246776,64.664
1750246777,38.89
1750246778,15.974
1750246779,17.138
1750246780,162.132
1750246781,30.15
1750246782,20.818
1750246783,71.546
1750246784,16.86
1750246785,24.721
1750246786,36.532
1750246787,56.929
1750246788,182.599
1750246789,126.237
1750246790,95.544
1750246791,78.59
1750246792,54.212
1750246793,14.895
1750246794,30.294
1750246795,15.024
1750246796,27.205
1750246797,36.347
1750246798,23.939
1750246799,42.359
1750246800,16.535
1750246801,22.067
1750246802,39.686
1750246803,38.691
1750246804,27.484
1750246805,21.953
1750246806,22.611
1750246807,20.631
1750246808,27.589
1750246809,16.177
1750246810,14.693
1750246811,16.743
1750246812,15.426
1750246813,16.138
1750246814,29.547
1750246815,28.515
1750246816,22.043
1750246817,29.624
1750246819,27.025
1750246820,31.502
1750246821,36.677
1750246822,17.136
1750246823,35.329
1750246825,19.731
1750246826,21.733
1750246828,16.259
1750246829,15.624
1750246830,22.965
1750246831,42.133
1750246832,37.591
1750246833,23.416
1750246835,36.336
1750246836,22.426
1750246838,20.49
1750246839,16
1750246841,20.67
1750246842,33.978
1750246843,14.842
1750246844,73.253
1750246845,51.726
1750246846,22.976
1750246847,28.772
1750246848,19.472
1750246849,29.01
1750246850,31.99
1750246851,29.247
1750246852,18.236
1750246853,16.6
1750246854,25.194
1750246855,18.677
1750246856,15.432
1750246857,32.857
1750246858,31.804
1750246859,23.556
1750246860,23.914
1750246861,31.187
1750246862,19.804
1750246863,15.757
1750246864,96.055
1750246865,28.763
1750246866,46.667
1750246867,20.585
1750246869,34.75
1750246870,17.024
1750246871,20.745
1750246872,28.29
1750246873,43.697
1750246874,26.555
1750246875,40.833
1750246876,19.559
1750246877,22.031
1750246878,24.46
1750246879,29.053
1750246880,45.908
1750246881,33.002
1750246882,30.652
1750246883,30.187
1750246884,17.68
1750246885,16.223
1750246886,27.101
1750246887,16.074
1750246888,19.593
1750246889,31.941
1750246890,28.988
1750246891,24.513
1750246892,27.657
1750246893,34.658
1750246894,27.974
1750246895,16.048
1750246896,29.553
1750246897,44.251
1750246898,30.92
1750246899,45.287
1750246900,58.29
1750246901,20.925
1750246902,19.679
1750246903,23.709
1750246904,26.867
1750246905,38.437
1750246906,17.871
1750246907,15.099
1750246908,18.423
1750246909,31.452
1750246910,21.954
1750246911,32.161
1750246912,16.019
1750246913,25.851
1750246914,34.283
1750246915,16.854
1750246916,22.636
1750246917,38.994
1750246918,15.488
1750246919,20.627
1750246920,22.815
